brand,product_name,category,shade_name,price,finish,image_url,swatch_url,lab_L,lab_a,lab_b
더샘,샘물 싱글 섀도우,eye,WH01 물기 머금은 다이아,"5,600원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/4101536749736378769.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/4101536749736378769.jpg,213.54,127.67,125.81
더샘,샘물 싱글 섀도우,eye,PICK1,"24,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/7656297797949703078.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/7656297797949703078.jpg,209.94,131.69,134.64
더샘,샘물 싱글 섀도우,eye,PICK2,"24,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/9199448969455729013.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/9199448969455729013.jpg,209.71,133.89,129.98
아멜리,섀도,eye,215 시나몬더스트,"15,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/8/7695177111016809668.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/8/7695177111016809668.jpg,158.28,133.32,143.46
아멜리,섀도,eye,514 바닐라쇼크,"17,100원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/3/866219940747676285.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/3/866219940747676285.jpg,174.0,135.19,142.53
아멜리,섀도,eye,515 레드쏠트핑크칙촉,"17,100원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/3/8954111701971420297.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/3/8954111701971420297.jpg,155.58,144.94,146.83
아멜리,섀도,eye,265 허쉬핑크,"15,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/3/3511096313801435619.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/3/3511096313801435619.jpg,181.13,138.2,136.94
아멜리,섀도,eye,226 세피아,"15,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/3/2187983125592376957.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/3/2187983125592376957.jpg,136.8,134.34,141.17
아멜리,섀도,eye,244 빈티지발렌타인,"15,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/3/250346960923372080.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/3/250346960923372080.jpg,161.18,143.07,140.4
아멜리,섀도,eye,179 체리블라썸,"17,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/3/535360798747182781.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/3/535360798747182781.jpg,169.46,146.34,140.44
아멜리,섀도,eye,224 리얼스킨,"15,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/8/2454126638276427608.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/8/2454126638276427608.jpg,182.33,135.48,145.82
아멜리,섀도,eye,243 마카롱그레이,"15,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/8/8739728975995788826.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/8/8739728975995788826.jpg,176.66,133.02,140.28
아멜리,섀도,eye,255 라넌큘러스,"15,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/8/7772111294302439259.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/8/7772111294302439259.jpg,184.7,141.94,144.67
아멜리,섀도,eye,113 피치오렌지,"17,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/8/6630756944087411790.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/8/6630756944087411790.jpg,173.83,144.93,148.09
